"month","total_events","background_events","background_rate","method"
2024-07-01,36,15,15,"Gardner-Knopoff window-based"
2024-08-01,55,15,15,"Gardner-Knopoff window-based"
2024-09-01,38,13,13,"Gardner-Knopoff window-based"
2024-10-01,30,17,17,"Gardner-Knopoff window-based"
2024-11-01,26,14,14,"Gardner-Knopoff window-based"
2024-12-01,29,18,18,"Gardner-Knopoff window-based"
2025-01-01,37,26,26,"Gardner-Knopoff window-based"
2025-02-01,31,20,20,"Gardner-Knopoff window-based"
2025-03-01,32,21,21,"Gardner-Knopoff window-based"
2025-04-01,75,19,19,"Gardner-Knopoff window-based"
2025-05-01,43,23,23,"Gardner-Knopoff window-based"
2025-06-01,53,21,21,"Gardner-Knopoff window-based"
2025-07-01,42,18,18,"Gardner-Knopoff window-based"
2025-08-01,38,23,23,"Gardner-Knopoff window-based"
2025-09-01,48,32,32,"Gardner-Knopoff window-based"
2025-10-01,26,13,13,"Gardner-Knopoff window-based"
2025-11-01,32,14,14,"Gardner-Knopoff window-based"
2025-12-01,41,22,22,"Gardner-Knopoff window-based"
2026-01-01,47,19,19,"Gardner-Knopoff window-based"
2026-02-01,34,19,19,"Gardner-Knopoff window-based"
2026-03-01,35,15,15,"Gardner-Knopoff window-based"
2026-04-01,32,14,14,"Gardner-Knopoff window-based"
2026-05-01,26,11,11,"Gardner-Knopoff window-based"
