"month","n_events","max_mag","mean_mag"
2016-09-01,19,3.47,2.23789473684211
2016-10-01,20,2.83,2.0875
2016-11-01,32,2.87,2.18875
2016-12-01,23,2.87,1.95478260869565
2017-01-01,15,2.81,2.21866666666667
2017-02-01,15,3.39,2.08
2017-03-01,23,3.56,2.20173913043478
2017-04-01,15,3.13,2.11666666666667
2017-05-01,23,3.71,2.22652173913043
2017-06-01,26,3.64,2.19
2017-07-01,30,3.47,2.22033333333333
2017-08-01,26,4.12,2.19576923076923
2017-09-01,27,3.65,2.13481481481481
2017-10-01,25,2.48,1.9752
2017-11-01,22,3.11,2.18
2017-12-01,26,3.05,2.24038461538462
2018-01-01,15,3.71,2.38866666666667
2018-02-01,18,3.31,2.25555555555556
2018-03-01,28,3.06,2.16678571428571
2018-04-01,22,3.69,2.22272727272727
2018-05-01,21,2.5,2.03761904761905
2018-06-01,24,3.32,2.20166666666667
2018-07-01,30,3.55,2.06566666666667
2018-08-01,19,2.5,1.98105263157895
2018-09-01,12,3.18,2.08583333333333
2018-10-01,28,3.23,2.125
2018-11-01,31,3.48,2.10903225806452
2018-12-01,27,4.2,2.1637037037037
2019-01-01,20,3.17,2.1905
2019-02-01,65,3.97,2.20507692307692
2019-03-01,39,3.2,2.08333333333333
2019-04-01,36,3.3,2.1275
2019-05-01,62,3.32,2.12532258064516
2019-06-01,34,3.46,2.15323529411765
2019-07-01,9152,7.1,2.28697006118881
2019-08-01,956,4.89,2.13767782426778
2019-09-01,407,3.59,2.0865601965602
2019-10-01,291,3.76,2.08762886597938
2019-11-01,259,3.92,2.13281853281853
2019-12-01,232,3.95,2.18512931034483
2020-01-01,167,4.62,2.12784431137725
2020-02-01,137,3.93,2.1629197080292
2020-03-01,150,4.32,2.1392
2020-04-01,134,4,2.13126865671642
2020-05-01,120,3.78,2.16391666666667
2020-06-01,556,5.8,2.16345323741007
2020-07-01,165,3.74,2.07521212121212
2020-08-01,104,4.72,2.18
2020-09-01,77,4.22,2.22909090909091
2020-10-01,120,3.47,2.13808333333333
2020-11-01,76,3.59,2.13684210526316
2020-12-01,91,3.5,2.11010989010989
2021-01-01,82,4.02,2.22670731707317
2021-02-01,91,4.03,2.15043956043956
2021-03-01,68,3.26,2.08514705882353
2021-04-01,68,3.64,2.12102941176471
2021-05-01,79,3.59,2.12177215189873
2021-06-01,67,3.38,2.17119402985075
2021-07-01,55,3.53,2.13690909090909
2021-08-01,57,4,2.02859649122807
2021-09-01,47,3.44,2.11617021276596
2021-10-01,65,3.98,2.13846153846154
2021-11-01,48,3.36,2.10666666666667
2021-12-01,49,3.19,2.1030612244898
2022-01-01,53,3.51,2.15849056603774
2022-02-01,41,2.93,2.05268292682927
2022-03-01,51,3.27,2.0443137254902
2022-04-01,61,3.62,2.10967213114754
2022-05-01,56,4.28,2.21464285714286
2022-06-01,55,3.55,2.05163636363636
2022-07-01,58,4.58,2.19844827586207
2022-08-01,45,3.42,2.03266666666667
2022-09-01,48,3.7,2.165625
2022-10-01,43,3.67,2.13488372093023
2022-11-01,46,3.19,2.00326086956522
2022-12-01,34,3.59,2.17823529411765
2023-01-01,40,3.35,2.16825
2023-02-01,41,3.56,2.14731707317073
2023-03-01,36,3.59,2.11472222222222
2023-04-01,37,3.62,2.15810810810811
2023-05-01,53,3.56,2.12660377358491
2023-06-01,35,3.57,2.33742857142857
2023-07-01,34,2.82,2.02323529411765
2023-08-01,29,3.34,2.13310344827586
2023-09-01,21,3.04,2.12428571428571
2023-10-01,41,3.52,2.11951219512195
2023-11-01,20,3.49,2.2245
2023-12-01,41,3.52,2.29268292682927
2024-01-01,28,3.05,2.13214285714286
2024-02-01,29,3.78,2.07034482758621
2024-03-01,26,3.26,2.10692307692308
2024-04-01,68,4.32,2.12911764705882
2024-05-01,35,3.27,2.11314285714286
