"month","n_events","max_mag","mean_mag"
2015-09-01,247,2.8,0.786153846153846
2015-10-01,236,2.74,0.871101694915254
2015-11-01,193,2.89,0.980932642487047
2015-12-01,219,4.25,1.09684931506849
2016-01-01,259,4.11,1.38084942084942
2016-02-01,188,4.31,1.31377659574468
2016-03-01,260,3.11,1.22480769230769
2016-04-01,166,3.21,1.19927710843373
2016-05-01,192,3.49,1.01677083333333
2016-06-01,207,3.31,1.30980676328502
2016-07-01,176,3,1.14625
2016-08-01,325,3.53,0.951938461538462
2016-09-01,218,3.47,1.05091743119266
2016-10-01,188,2.83,0.962234042553192
2016-11-01,206,2.87,1.18063106796117
2016-12-01,198,2.87,0.967171717171717
2017-01-01,168,2.81,1.04886904761905
2017-02-01,141,3.39,1.11290780141844
2017-03-01,170,3.56,1.09617647058824
2017-04-01,138,3.13,1.04840579710145
2017-05-01,245,3.71,0.919795918367347
2017-06-01,256,3.64,0.962109375
2017-07-01,218,3.47,1.16307339449541
2017-08-01,272,4.12,0.93014705882353
2017-09-01,229,3.65,1.06275109170306
2017-10-01,175,2.48,0.9744
2017-11-01,155,3.11,1.16929032258065
2017-12-01,161,3.05,1.13360248447205
2018-01-01,146,3.71,1.21890410958904
2018-02-01,137,3.31,1.15883211678832
2018-03-01,157,3.06,1.21477707006369
2018-04-01,143,3.69,1.17923076923077
2018-05-01,154,2.5,1.10214285714286
2018-06-01,158,3.32,1.08556962025316
2018-07-01,272,3.55,1.01863970588235
2018-08-01,159,2.5,1.0862893081761
2018-09-01,135,3.18,0.998740740740741
2018-10-01,182,3.23,1.07049450549451
2018-11-01,230,3.48,1.04865217391304
2018-12-01,186,4.2,1.14537634408602
2019-01-01,162,3.17,1.00962962962963
2019-02-01,238,3.97,1.34344537815126
2019-03-01,309,3.2,1.01838187702265
2019-04-01,278,3.3,1.01097122302158
2019-05-01,498,3.32,1.07042168674699
2019-06-01,299,3.46,0.983678929765886
2019-07-01,27638,7.1,1.53331536290614
2019-08-01,8108,4.89,1.10712752836704
2019-09-01,4096,3.59,1.073291015625
2019-10-01,3049,3.76,0.997208920957691
2019-11-01,2876,3.92,0.887903337969402
2019-12-01,2725,3.95,0.921020183486239
2020-01-01,2196,4.62,0.907094717668488
2020-02-01,1627,3.93,0.893902888752305
2020-03-01,1797,4.32,0.923761825264329
2020-04-01,1492,4,0.945067024128686
2020-05-01,1687,3.78,0.850367516301126
2020-06-01,2964,5.8,1.18948043184885
2020-07-01,1657,3.74,0.923198551599276
2020-08-01,1298,4.72,0.830939907550077
2020-09-01,1345,4.22,0.807040892193309
2020-10-01,1196,3.47,0.952290969899666
2020-11-01,833,3.59,1.00607442977191
2020-12-01,718,3.5,1.05550139275766
2021-01-01,678,4.02,1.12355457227139
2021-02-01,705,4.03,1.062
2021-03-01,629,3.26,1.02974562798092
2021-04-01,823,3.64,0.929902794653706
2021-05-01,705,3.59,0.970723404255319
2021-06-01,755,3.38,0.915880794701987
2021-07-01,720,3.53,0.879666666666667
2021-08-01,752,4,0.884162234042553
2021-09-01,697,3.44,0.885667144906743
2021-10-01,604,3.98,1.04899006622517
2021-11-01,610,3.36,0.920672131147541
2021-12-01,561,3.19,0.972335115864528
2022-01-01,605,3.51,0.931685950413223
2022-02-01,547,2.93,0.933674588665448
2022-03-01,486,3.27,0.976748971193416
2022-04-01,530,3.62,1.03452830188679
2022-05-01,547,4.28,1.02561243144424
2022-06-01,464,3.55,1.01762931034483
2022-07-01,502,4.58,1.10304780876494
2022-08-01,412,3.42,1.10771844660194
2022-09-01,307,3.7,1.21664495114007
2022-10-01,293,3.67,1.23617747440273
2022-11-01,257,3.19,1.25684824902724
2022-12-01,229,3.59,1.21606986899563
2023-01-01,206,3.35,1.35179611650485
2023-02-01,189,3.56,1.33544973544974
2023-03-01,145,3.59,1.39634482758621
2023-04-01,189,3.62,1.28185185185185
2023-05-01,257,3.56,1.28906614785992
2023-06-01,230,3.57,1.22165217391304
2023-07-01,239,2.82,1.17364016736402
2023-08-01,243,3.34,1.15292181069959
2023-09-01,206,3.04,1.1831067961165
2023-10-01,201,3.52,1.3036815920398
2023-11-01,185,3.49,1.12821621621622
2023-12-01,218,3.52,1.30091743119266
2024-01-01,266,3.05,1.15695488721805
2024-02-01,219,3.78,1.16625570776256
2024-03-01,245,3.26,1.14934693877551
2024-04-01,411,4.32,1.18080291970803
2024-05-01,330,3.27,1.02627272727273
2024-06-01,255,3.86,1.02505882352941
2024-07-01,268,4.87,1.08921641791045
2024-08-01,391,3.77,1.08611253196931
2024-09-01,305,3.75,1.05655737704918
2024-10-01,290,3.59,1.04572413793103
2024-11-01,241,3.29,1.03327800829876
2024-12-01,258,3.55,1.07693798449612
2025-01-01,229,3.46,1.20689956331878
2025-02-01,192,3.27,1.28828125
2025-03-01,207,2.95,1.24265700483092
2025-04-01,411,3.47,1.28586374695864
2025-05-01,364,3.4,1.14681318681319
2025-06-01,424,3.21,1.08558962264151
2025-07-01,382,3.98,1.02596858638743
2025-08-01,382,2.86,0.998376963350785
2025-09-01,432,3.1,0.970069444444444
2025-10-01,268,3.07,1.08559701492537
2025-11-01,226,2.77,1.19283185840708
2025-12-01,294,3.56,1.15602040816327
2026-01-01,384,3.55,1.16955729166667
2026-02-01,241,3.55,1.14709543568465
2026-03-01,258,4.11,1.07282945736434
2026-04-01,281,3.93,1.0285409252669
2026-05-01,207,3.12,1.07550724637681
